,global_id,PERIOD,WORK_NAME,NUM_ENTRANCE,ElevatorNumber,PLAN_DATE_START,PLAN_DATE_END,FACT_DATE_START,FACT_DATE_END,AdmArea,District,Address,UNOM
14,347247,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),,,11.03.2022,10.07.2022,25.02.2022,12.08.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
15,347250,2022,ремонт фасадов,,,01.04.2022,31.08.2022,25.04.2022,05.12.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
16,347248,2022,ремонт крыши,,,11.05.2022,30.09.2022,24.05.2022,08.11.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
17,347264,2022,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),,,11.03.2022,10.07.2022,18.01.2022,12.04.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
18,347266,2022,ремонт фасадов,,,01.04.2022,31.08.2022,19.05.2022,16.11.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
19,347267,2022,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме",,,21.05.2022,30.09.2022,04.04.2022,11.10.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
20,347265,2022,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),,,21.04.2022,10.07.2022,04.05.2022,10.08.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
21,347269,2022,ремонт внутридомовых инженерных систем электроснабжения,,,21.02.2022,20.06.2022,16.02.2022,27.06.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
22,347270,2022,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),,,21.02.2022,20.06.2022,26.01.2022,27.04.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
23,347274,2022,"ремонт подъездов, направленный на восстановление их надлежащего состояния и проводимый при выполнении иных работ по капитальному ремонту общего имущества в многоквартирном доме",,,21.05.2022,31.10.2022,02.05.2022,18.10.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
24,347273,2022,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме",,,21.05.2022,30.09.2022,21.02.2022,27.04.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
25,347271,2022,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),,,21.04.2022,10.07.2022,22.04.2022,12.07.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
26,430917,2022,ремонт мусоропровода,,,21.02.2022,20.06.2022,21.02.2022,27.04.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
27,395107,2022,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),,,21.04.2022,10.07.2022,04.05.2022,01.10.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
28,395106,2022,ремонт внутридомовых инженерных систем водоотведения (канализации) (выпуски и сборные трубопроводы),,,11.03.2022,10.07.2022,03.02.2022,29.06.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
29,430910,2022,ремонт крыши,,,11.05.2022,31.08.2022,16.05.2022,11.10.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
30,430908,2022,ремонт внутридомовых инженерных систем водоотведения (канализации) (выпуски и сборные трубопроводы),,,11.03.2022,10.07.2022,18.01.2022,22.07.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
31,430909,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),,,11.03.2022,10.07.2022,18.01.2022,12.04.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
32,430918,2022,"замена оконных блоков, расположенных в помещениях общего пользования",,,01.04.2022,30.06.2022,01.04.2022,27.04.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
33,430915,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),,,21.02.2022,20.06.2022,26.01.2022,27.04.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
34,430916,2022,ремонт внутридомовых инженерных систем водоотведения (канализации) (выпуски и сборные трубопроводы),,,21.02.2022,20.06.2022,22.02.2022,27.04.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
35,347366,2022,ремонт внутридомовых инженерных систем электроснабжения,,,21.03.2022,20.07.2022,25.03.2022,21.09.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
36,347368,2022,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме",,,21.05.2022,30.09.2022,02.06.2022,15.12.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
37,347369,2022,"ремонт подъездов, направленный на восстановление их надлежащего состояния и проводимый при выполнении иных работ по капитальному ремонту общего имущества в многоквартирном доме",,,21.05.2022,31.10.2022,06.06.2022,15.12.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
38,347367,2022,ремонт внутридомовых инженерных систем водоотведения (канализации) (выпуски и сборные трубопроводы),,,21.03.2022,20.07.2022,17.02.2022,20.07.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
39,361506,2022,"замена оконных блоков, расположенных в помещениях общего пользования",,,01.04.2022,30.06.2022,20.05.2022,26.07.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
40,430949,2022,ремонт мусоропровода,,,21.03.2022,20.07.2022,04.04.2022,09.08.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
41,430946,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),,,21.03.2022,20.07.2022,25.03.2022,26.07.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
42,430947,2022,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),,,21.04.2022,10.07.2022,17.05.2022,09.08.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
43,430948,2022,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),,,21.03.2022,20.07.2022,25.03.2022,20.07.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
44,347420,2022,ремонт внутридомовых инженерных систем электроснабжения,,,11.03.2022,10.07.2022,18.02.2022,22.06.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
45,347421,2022,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),,,11.03.2022,10.07.2022,03.02.2022,22.04.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
46,347423,2022,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме",,,21.05.2022,30.09.2022,14.03.2022,26.04.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
47,347425,2022,ремонт фасадов,,,01.04.2022,31.08.2022,23.04.2022,07.10.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
48,347422,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),,,11.03.2022,10.07.2022,03.02.2022,22.04.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
49,430985,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (стояки),,,21.04.2022,20.08.2022,21.04.2022,15.11.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
50,430991,2022,ремонт пожарного водопровода,,,11.03.2022,20.06.2022,21.02.2022,04.05.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
51,430983,2022,ремонт внутридомовых инженерных систем водоотведения (канализации) (выпуски и сборные трубопроводы),,,11.03.2022,10.07.2022,27.01.2022,22.04.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
52,430986,2022,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),,,21.04.2022,10.07.2022,01.04.2022,22.06.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
53,430987,2022,ремонт внутридомовых инженерных систем теплоснабжения (стояки),,,21.04.2022,20.08.2022,06.06.2022,15.11.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
54,430988,2022,ремонт внутридомовых инженерных систем холодного водоснабжения (стояки),,,21.04.2022,20.08.2022,21.04.2022,15.11.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
55,430989,2022,ремонт мусоропровода,,,11.03.2022,10.07.2022,01.03.2022,18.04.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
56,430990,2022,ремонт крыши,,,11.05.2022,31.08.2022,23.05.2022,03.10.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
57,347440,2022,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),,,21.02.2022,20.06.2022,18.02.2022,18.05.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
58,347441,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),,,21.02.2022,20.06.2022,18.02.2022,18.05.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
59,347442,2022,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),,,21.04.2022,10.07.2022,06.05.2022,05.08.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
60,347444,2022,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме",,,21.05.2022,30.09.2022,28.03.2022,03.08.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
61,347445,2022,"ремонт подъездов, направленный на восстановление их надлежащего состояния и проводимый при выполнении иных работ по капитальному ремонту общего имущества в многоквартирном доме",,,21.05.2022,31.10.2022,21.05.2022,21.11.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
62,347446,2022,ремонт фасадов,,,01.04.2022,31.08.2022,29.04.2022,16.11.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
63,347443,2022,ремонт крыши,,,11.05.2022,31.08.2022,20.05.2022,08.11.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
64,431200,2022,ремонт мусоропровода,,,21.02.2022,20.06.2022,11.04.2022,28.07.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
65,431198,2022,ремонт внутридомовых инженерных систем электроснабжения,,,21.02.2022,20.06.2022,21.03.2022,08.12.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
66,431199,2022,ремонт внутридомовых инженерных систем водоотведения (канализации) (выпуски и сборные трубопроводы),,,21.02.2022,20.06.2022,18.02.2022,18.05.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
67,347455,2022,ремонт крыши,,,11.05.2022,31.08.2022,02.05.2022,02.09.2022,Восточный административный округ,район Преображенское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Преображенское, улица Девятая Рота, дом 2, корпус 1",5945
68,347505,2022,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),,,21.03.2022,20.07.2022,25.05.2022,20.09.2022,Восточный административный округ,район Новогиреево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Зелёный проспект, дом 83, корпус 4",8416
69,347506,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),,,21.03.2022,20.07.2022,25.05.2022,20.09.2022,Восточный административный округ,район Новогиреево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Зелёный проспект, дом 83, корпус 4",8416
70,347508,2022,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме",,,21.05.2022,30.09.2022,23.05.2022,05.12.2022,Восточный административный округ,район Новогиреево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Зелёный проспект, дом 83, корпус 4",8416
71,347507,2022,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),,,21.04.2022,10.07.2022,02.06.2022,14.09.2022,Восточный административный округ,район Новогиреево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Зелёный проспект, дом 83, корпус 4",8416
72,394938,2022,ремонт внутреннего водостока,,,21.11.2022,31.12.2022,10.10.2022,25.11.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Большой Купавенский проезд, дом 4",12175
73,394251,2022,"ремонт подъездов, направленный на восстановление их надлежащего состояния и проводимый при выполнении иных работ по капитальному ремонту общего имущества в многоквартирном доме",,,01.05.2022,31.08.2022,23.05.2022,19.09.2022,Восточный административный округ,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Просторная улица, дом 15, корпус 2",20914
74,350927,2022,замена лифтового оборудования,1.0,1,23.06.2022,11.08.2022,23.06.2022,31.10.2022,Восточный административный округ,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, бульвар Маршала Рокоссовского, дом 8, корпус 1",21908
75,348040,2022,замена лифтового оборудования,1.0,1,23.06.2022,11.08.2022,23.06.2022,31.10.2022,Восточный административный округ,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, бульвар Маршала Рокоссовского, дом 8, корпус 3",21910
76,355250,2022,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме",,,21.06.2022,31.10.2022,08.08.2022,27.10.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Кетчерская улица, дом 10",10015
77,430556,2022,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),,,21.06.2022,10.10.2022,20.07.2022,04.10.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Кетчерская улица, дом 10",10015
78,430557,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),,,21.06.2022,10.10.2022,20.07.2022,04.10.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Кетчерская улица, дом 10",10015
79,350908,2022,замена лифтового оборудования,3.0,3,18.07.2022,31.08.2022,18.02.2022,22.04.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Кетчерская улица, дом 8, корпус 1",10012
80,430564,2022,ремонт внутреннего водостока,,,11.11.2022,31.12.2022,01.09.2022,25.11.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Косинская улица, дом 18, корпус 2",11118
81,322857,2022,ремонт фасадов,,,11.04.2022,10.09.2022,18.04.2022,17.11.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, улица Молдагуловой, дом 12, корпус 2",14953
82,322856,2022,ремонт крыши,,,11.04.2022,10.09.2022,02.06.2022,17.11.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, улица Молдагуловой, дом 12, корпус 2",14953
83,322861,2022,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),,,21.04.2022,20.08.2022,18.04.2022,12.08.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, улица Молдагуловой, дом 12, корпус 2",14953
84,322862,2022,ремонт внутридомовых инженерных систем теплоснабжения (стояки),,,21.04.2022,20.08.2022,24.05.2022,23.09.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, улица Молдагуловой, дом 12, корпус 2",14953
85,322863,2022,ремонт внутридомовых инженерных систем водоотведения (канализации) (стояки),,,21.04.2022,20.08.2022,21.04.2022,09.09.2022,Восточный административный округ,район Вешняки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, улица Молдагуловой, дом 12, корпус 2",14953
